Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2
2024,Kepulauan Riau,Kota Tanjung Pinang,"55,715.79","12,241.04",21.97,"35,518.51",63.75,"47,759.56",85.72,"12,241.04","1,172.02",24.07,P 1
2024,DKI Jakarta,Kab. Adm. Kep. Seribu,"6,739.09","1,888.49",28.02,"4,826.18",71.61,"6,714.67",99.64,"1,708.48","1,347.73",45.35,P 1
2024,DKI Jakarta,Kota Adm. Jakarta Pusat,"312,221.09","87,526.81",28.03,"223,354.46",71.54,"310,881.27",99.57,"61,308.51",,19.64,P 1
2024,DKI Jakarta,Kota Adm. Jakarta Utara,"509,694.50","142,880.45",28.03,"365,484.31",71.71,"508,364.77",99.74,"100,630.20",2.51,19.74,P 1
2024,DKI Jakarta,Kota Adm. Jakarta Barat,"757,857.05","212,637.57",28.06,"544,174.86",71.8,"756,812.43",99.86,"160,970.11",,21.24,P 1
2024,DKI Jakarta,Kota Adm. Jakarta Selatan,"725,690.82","203,289.04",28.01,"522,242.02",71.96,"725,531.06",99.98,"171,969.88",,23.7,P 1
2024,DKI Jakarta,Kota Adm. Jakarta Timur,"859,045.05","242,094.77",28.18,"615,025.00",71.59,"857,119.77",99.78,"228,232.72",,26.57,P 1
2024,Jawa Barat,Kab. Bogor,"1,026,931.33","30,095.69",2.93,"287,285.91",27.98,"317,381.59",30.91,"29,007.99",,2.82,P 1
2024,Jawa Barat,Kab. Cianjur,"462,637.87","1,792.52",0.39,"120,125.14",25.97,"121,917.66",26.35,"1,792.52",,0.39,P 1
2024,Jawa Barat,Kab. Bandung,"478,956.72","160,023.22",33.41,"140,885.62",29.42,"300,908.84",62.83,"158,413.20","9,606.07",35.08,P 1
2024,Jawa Barat,Kab. Garut,"418,262.61","52,532.82",12.56,"89,060.00",21.29,"141,592.82",33.85,"51,108.94",,12.22,P 1
2024,Jawa Barat,Kab. Tasikmalaya,"254,875.20",102.33,0.04,"18,250.00",7.16,"18,352.33",7.2,98.55,,0.04,P 1
2024,Jawa Barat,Kab. Ciamis,"182,871.42","72,804.74",39.81,"77,462.49",42.36,"150,267.23",82.17,"67,946.11","36,728.49",57.24,P 1
2024,Jawa Barat,Kab. Cirebon,"465,242.92","12,041.64",2.59,"178,890.15",38.45,"190,931.80",41.04,"11,851.84",,2.55,P 1
2024,Jawa Barat,Kab. Sumedang,"176,030.01",609.22,0.35,"25,079.15",14.25,"25,688.36",14.59,609.22,,0.35,P 1
2024,Jawa Barat,Kab. Indramayu,"414,835.78","51,379.51",12.39,"208,214.25",50.19,"259,593.77",62.58,"33,054.54",65.7,7.98,P 1
2024,Jawa Barat,Kab. Purwakarta,"152,672.78","2,558.65",1.68,"25,199.60",16.51,"27,758.25",18.18,"2,558.65","1,591.40",2.72,P 1
2024,Jawa Barat,Kab. Karawang,"389,444.24","2,909.70",0.75,"140,072.32",35.97,"142,982.02",36.71,"2,909.70","1,978.22",1.26,P 1
2024,Jawa Barat,Kab. Bekasi,"614,462.32","2,521.87",0.41,"330,711.32",53.82,"333,233.19",54.23,"1,769.79",,0.29,P 1
2024,Jawa Barat,Kota Bogor,"284,631.60","69,312.71",24.35,"196,510.09",69.04,"265,822.80",93.39,"67,637.05",140.09,23.81,P 1
2024,Jawa Barat,Kota Bandung,"546,151.49","98,314.10",18,"369,161.83",67.59,"467,475.93",85.59,"98,314.10","1,073.94",18.2,P 1
2024,Jawa Barat,Kota Cirebon,"78,969.28","8,590.64",10.88,"58,008.18",73.46,"66,598.81",84.34,"8,472.10",3.37,10.73,P 1
2024,Jawa Barat,Kota Cimahi,"84,666.28","19,105.93",22.57,"62,050.00",73.29,"81,155.93",95.85,"19,105.93","13,505.00",38.52,P 1
2024,Jawa Barat,Kota Tasikmalaya,"121,705.09","19,712.36",16.2,"84,802.51",69.68,"104,514.87",85.88,"19,712.36",660.99,16.74,P 1
2024,Jawa Tengah,Kab. Banyumas,"200,228.74","128,420.27",64.14,"67,798.75",33.86,"196,219.02",98,"126,796.59","36,477.01",81.54,P 1
2024,Jawa Tengah,Kab. Banjarnegara,"155,978.66",339.41,0.22,"20,436.35",13.1,"20,775.76",13.32,24.64,,0.02,P 1
2024,Jawa Tengah,Kab. Wonosobo,"132,810.94","20,284.37",15.27,"47,450.00",35.73,"67,734.37",51,"20,057.73",,15.1,P 1
2024,Jawa Tengah,Kab. Magelang,"243,075.58","66,659.93",27.42,"86,565.78",35.61,"153,225.71",63.04,"66,408.08","4,152.43",29.03,P 1
2024,Jawa Tengah,Kab. Boyolali,"108,784.91","25,276.38",23.24,"38,719.57",35.59,"63,995.94",58.83,"24,885.31",120.82,22.99,P 1
2024,Jawa Tengah,Kab. Sukoharjo,"133,436.70","21,633.79",16.21,"85,074.20",63.76,"106,707.99",79.97,"20,538.32",,15.39,P 1
2024,Jawa Tengah,Kab. Sragen,"218,449.22","24,239.14",11.1,"79,737.17",36.5,"103,976.31",47.6,"10,436.97","19,862.57",13.87,P 1
2024,Jawa Tengah,Kab. Rembang,"96,766.90","14,046.34",14.52,"23,089.97",23.86,"37,136.32",38.38,"13,949.59",3.29,14.42,P 1
2024,Jawa Tengah,Kab. Pati,"248,083.93","36,386.54",14.67,"68,985.00",27.81,"105,371.54",42.47,"36,175.10",0,14.58,P 1
2024,Jawa Tengah,Kab. Kudus,"159,650.27","39,456.73",24.71,"68,222.28",42.73,"107,679.01",67.45,"37,410.03",916.29,24.01,P 1
2024,Jawa Tengah,Kab. Jepara,"153,000.41","19,126.41",12.5,"63,752.98",41.67,"82,879.39",54.17,"18,924.30","1,279.58",13.21,P 1
2024,Jawa Tengah,Kab. Demak,"228,667.03",163.97,0.07,"146,205.17",63.94,"146,369.14",64.01,163.97,,0.07,P 1
2024,Jawa Tengah,Kab. Semarang,"196,718.94","18,795.68",9.55,"88,695.00",45.09,"107,490.68",54.64,"18,795.68","1,095.00",10.11,P 1
2024,Jawa Tengah,Kab. Kendal,"158,286.48","1,104.03",0.7,"72,523.71",45.82,"73,627.74",46.52,"1,104.03",56.97,0.73,P 1
2024,Jawa Tengah,Kab. Brebes,"372,861.55","6,346.45",1.7,"70,678.60",18.96,"77,025.05",20.66,"5,995.07",,1.61,P 1
2024,Jawa Tengah,Kota Magelang,"29,515.10","4,806.54",16.29,"23,136.74",78.39,"27,943.28",94.67,"4,787.85",7.31,16.25,P 1
2024,Jawa Tengah,Kota Surakarta,"153,360.91","29,460.64",19.21,"121,523.76",79.24,"150,984.39",98.45,"24,743.35",,16.13,P 1
